Eagle ESG Pillar,Category #,Eagle ESG Categories,Eagle ESG Sub-categories,Arabesque Sustainability Features,MSCI Themes and Key Issues,Vigeo Domains and Components,UN SDG Factors,SASB Materiality
Environment,Category 1,RESOURCE,(A) Biodiversity,Environmental Stewardship,Biodiversity & Land Use,ENV 1.4 - Protection of Biodiversity,"SDG_13 - Climate Action
SDG_14 - Life Below Water
SDG_15 - Life on Land",
Environment,Category 1,RESOURCE,(B) Raw Materials,Resource Use,Raw Material Sourcing,,SDG_17 - Partnerships for the Goals,
Environment,Category 1,RESOURCE,(C) Water,"Resource Use
Water","Raw Material Sourcing
Water Stress",ENV 2.1 - Protection of Water Resources,"SDG_6 - Clean Water & Sanitation
SDG_13 - Climate Action
SDG_14 - Life Below Water",
Environment,Category 2,INNOVATION,"(A) Strategy
",Environmental Solutions,"Opportunities in Clean Tech
Opportunities in Green Building
","ENV 1.1 - Environmental Strategy and Eco-Design
ENV 1.3 - Development of Green Products and Services","SDG_7 - Affordable & Clean Energy
SDG_13 - Climate Action",
Environment,Category 2,INNOVATION,(B) Renewable Energy,,Opp’s in Renewable Energy,,SDG_13 - Climate Action,
Environment,Category 3,CLIMATE CHANGE,(A) Pollution (EMISSIONS),Emissions,Carbon Emissions,ENV 2.4 - Management of Atmospheric Emissions,SDG_13 - Climate Action,
Environment,Category 3,CLIMATE CHANGE,(B) Pollution (ENERGY),,Product Carbon Footprint,ENV 2.2 - Minimising the Environmental Impacts from Energy Use,"SDG_7 - Affordable & Clean Energy
SDG_11 - Sustainable Cities & Communities
SDG_12 - Responsible Consumption & Production
SDG_13 - Climate Action",
Environment,Category 3,CLIMATE CHANGE,(C) Pollution (GENERAL),,"Climate Change Vulnerability
Toxic Emissions & Waste",ENV 2.6 - Management of Local Pollution,"SDG_11 - Sustainable Cities & Communities
SDG_12 - Responsible Consumption & Production
SDG_13 - Climate Action",
Environment,Category 3,CLIMATE CHANGE,(D) Pollution (SOIL),,"Electronic Waste
Packaging Material & Waste","ENV 1.2 - Pollution Prevention and Control (soil, accident)","SDG_6 - Clean Water & Sanitation
SDG_13 - Climate Action
SDG_14 - Life Below Water
SDG_15 - Life on Land",
Environment,Category 4,ENVIRONMENTAL MANAGEMENT,"(A) Waste
",Waste,Toxic Emissions & Waste,ENV 2.5 - Waste Management,"SDG_12 - Responsible Consumption & Production
SDG_13 - Climate Action
SDG_14 - Life Below Water
SDG_15 - Life on Land",
Environment,Category 4,ENVIRONMENTAL MANAGEMENT,(B) Strategy,"Environmental Solutions
Environmental Management","Opportunities in Green Building
Opp’s in Renewable Energy
Opportunities in Clean Tech",ENV 1.1 - Environmental Strategy and Eco-Design,SDG_13 - Climate Action,
